"id","operation","baseCurrency","baseCurrencyAmount","createdAt","quoteCurrency","quoteCurrencyAmount","feeAmount","extraFeeAmount","networkFeeAmount","status"
"d1c490f4-b7a2-44ac-8ddd-97111be961e9","buy","gbp",24.45,"2022-11-09T19:01:22.834Z","btc",,3.99,1.28,0.28,"failed"
"a1731324-7562-4fc0-82ef-1216f5f3e36f","sell","eth",0.25,"2022-11-10T23:48:12.214Z","gbp",,,,,"failed"
"ec968673-b55b-4e52-8310-6834b99443b2","sell","btc",0.00472,"2022-11-10T23:49:08.736Z","gbp",,,,,"failed"
"75398ce4-2b63-445c-9da1-fe9b002b5447","sell","usdc",199.98,"2022-11-11T00:03:04.717Z","gbp",,,,,"failed"
"a8bce6d8-8d09-4438-b764-ed6cf69e4078","buy","gbp",23.5,"2022-11-15T23:53:39.895Z","eth",,3.99,1.23,1.28,"failed"
"628be63a-994e-4a21-98d5-b72de6efe1f1","sell","eth",0.1721,"2022-11-23T05:44:11.029Z","gbp",,,,,"failed"
"0589a05b-f807-41f1-b481-a7c77bcb7da7","buy","gbp",121.58,"2023-01-10T10:47:13.982Z","btc",0.00864,0,1.22,0.12,"completed"
"d4690a90-6fce-49db-b4bc-9b7ad0b084c8","buy","gbp",121.95,"2023-01-10T14:08:20.515Z","btc",,0,1.22,0.11,"failed"
"18821b77-c5fc-4099-a6b3-7689a7aac5a3","buy","gbp",78.73,"2023-01-10T14:20:34.066Z","btc",,2.36,0.79,0.11,"failed"
"63217c58-4340-4461-bd34-bbc8803bbe36","buy","gbp",81.07,"2023-01-10T14:20:57.995Z","btc",,0,0.81,0.11,"failed"
"66a2d9de-5063-4d20-bde1-1d72f16a988d","buy","gbp",120.18,"2023-01-10T16:58:01.101Z","btc",,0,1.2,0.13,"failed"
"684f5c40-9d14-449d-abb6-d39c52de95ad","buy","gbp",146.41,"2023-01-10T20:50:46.305Z","btc",,0,1.46,0.13,"failed"
"50ece860-5d11-482f-a2b1-5254dd9503a8","buy","usd",24.88,"2023-02-27T10:26:56.457Z","usdt_trx",,3.99,0.12,1.01,"failed"
"89d10faa-b5b3-4982-9df4-e91337c6cd2f","buy","usd",24.88,"2023-02-27T10:28:06.870Z","usdt_trx",,3.99,0.12,1.01,"failed"
"e8618b3b-833d-4915-94ec-3e49ddf73236","buy","gbp",35.95,"2023-02-27T17:22:26.174Z","trx",607.5,3.99,0,0.06,"completed"